STRAATNAAM;POSTCODE6;POSTCODE4;HSNR_laag;HSNR_hoog;HSNR_aant;BUURTCODE;BUURTNAAM;WIJKCODE;WIJKNAAM;STADSDEELCODE;STADSDEELNAAM;x_rd;y_rd;latitude;longitude
Kruisstraat;5612CL;5612.0;94;122;30.0;413;Gildebuurt;41;Wijk Oud-Woensel;4;Stadsdeel Woensel-Zuid;161132.6458;384330.702537;51.4480311909;5.47542026873
Kuiperbergstraat;5628DK;5628.0;2;34;17.0;531;Woenselse Heide;53;Wijk Aanschot;5;Stadsdeel Woensel-Noord;160272.75055;388148.071429;51.4823529173;5.46310781947
Laagstraat;5111CR;5111.0;437;437;1.0;722;Blaarthem;72;Wijk Oud-Gestel;7;Stadsdeel Gestel;;;;
Laagstraat;5654PP;5654.0;266;292;22.0;722;Blaarthem;72;Wijk Oud-Gestel;7;Stadsdeel Gestel;160160.0367;381780.822261;51.4251209136;5.46139169764
Laagstraat;5654PS;5654.0;388;472;27.0;722;Blaarthem;72;Wijk Oud-Gestel;7;Stadsdeel Gestel;159844.978833;381528.7036;51.4228574996;5.45685833765
Laagte;5629TS;5629.0;1;33;17.0;534;Blixembosch-Oost;53;Wijk Aanschot;5;Stadsdeel Woensel-Noord;160961.106975;389622.7343;51.4956012508;5.47304247178
Lage Zijde;5626DL;5626.0;1;10;18.0;520;Kapelbeemd;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;157204.587572;388045.86595;51.4814546547;5.41893776857
Lalostraat;5653ES;5653.0;2;10;5.0;721;Genderdal;72;Wijk Oud-Gestel;7;Stadsdeel Gestel;159499.740686;381729.30645;51.4246635203;5.45189732938
Landheer;5658HT;5658.0;1;24;22.0;633;Grasrijk;63;Wijk Meerhoven;6;Stadsdeel Strijp;157193.233841;382797.14995;51.4342757518;5.41874146241
Landleven;5658HZ;5658.0;1;264;172.0;633;Grasrijk;63;Wijk Meerhoven;6;Stadsdeel Strijp;156974.922;382552.333203;51.4320759837;5.41560057249
Landsard;5657AJ;5657.0;15;21;4.0;631;BeA2;63;Wijk Meerhoven;6;Stadsdeel Strijp;155765.62425;386085.116153;51.4638339705;5.39821846725
Langenakkerweg;5616SZ;5616.0;4;18;8.0;615;Schoot;61;Wijk Oud-Strijp;6;Stadsdeel Strijp;159383.24263;383883.07005;51.4440239203;5.45024918861
Languedoclaan;5627BE;5627.0;1;62;58.0;523;Achtse Barrier-Spaaihoef;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;158524.782104;388162.09535;51.4824926592;5.43794413662
